"chain_id","official_source","article","obligation","applicability","control","evidence_requirement","test_scenario","source_file","review_status"
"WP-SPK-011","SPK-VII-128.10","Madde 19","Dış hizmet riski değerlendirilir; sözleşmede güvenlik, erişim, denetim, olay bildirimi ve hizmet seviyesi hükümleri bulunur; hizmet izlenir.","Bilgi sistemleri dış hizmeti alan VII-128.10 kapsam kuruluşu.","Üçüncü taraf risk ve sözleşme güvencesi.","Ön değerlendirme, teknik yeterlik/onay, sözleşme maddeleri, SLA ve güvenlik raporları, olay bildirimleri, çıkış planı.","Kritik tedarikçi örneklerinde zorunlu sözleşme hükümlerini ve son izleme raporunu doğrula; zincir tedarikçi kapsamını kontrol et.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-012","SPK-VII-128.10","Madde 22-23","Kritik işlem/erişim/yetki denetim izleri bütünlüklü, merkezi ve zaman senkronlu tutulur; en az 5 yıl saklanır; sürekli izleme ve otomatik uyarı yapılır.","VII-128.10 madde 2 kapsamındaki kuruluş.","Değiştirilemez merkezi loglama, SIEM ve güvenilir zaman.","Log şeması, WORM/immütabilite kanıtı, saklama politikası, yedek, NTP/atomik saat ayarı, korelasyon ve uyarı inceleme kayıtları.","Yetki değişikliği ve hassas veri erişimi oluşturup gerekli alanların SIEM'e geldiğini, bütünlük kontrolünü ve uyarı kayıtlarını doğrula.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-013","SPK-VII-128.10","Madde 24","İhlal/açıklar hızla kayda alınır; onaylı müdahale planı, bildirim, kök neden, kanıt bütünlüğü ve yıllık test uygulanır; kritik kesinti/veri sızıntısı potansiyelinde Kurul ve ilgili taraflar derhal bilgilendirilir.","VII-128.10 madde 2 kapsamındaki kuruluş; Kurumsal SOME kararı varsa ek fıkralar.","Olay müdahale, düzenleyici bildirim ve adli kanıt zinciri.","Olay kaydı, sınıflandırma kriteri, onaylı plan, bildirim alındıları, müdahale/kök neden raporu, chain-of-custody, yıllık tatbikat raporu.","Kritik veri sızıntısı masaüstü tatbikatında sınıflandırma, bildirim, delil hash'i, rol/iletişim ve rapor üretimini uçtan uca çalıştır.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-014","SPK-VII-128.10","Madde 27","Birincil/ikincil sistemler yurt içinde tutulur; farklı riskli konum, RTO/RPO, yıllık plan ve geri dönüş testleri, 24 saatte faaliyet, coğrafi yedek ve yıllık restore testi sağlanır.","VII-128.10 kapsam kuruluşu; geçiş ve muafiyetler ayrıca doğrulanır.","Yerelleştirme, felaket kurtarma ve doğrulanmış yedekleme.","Barındırma konumu, mimari, BIA/RTO/RPO, onaylı plan, yıllık DR/restore sonuçları, yedek çizelgesi ve bütünlük kanıtı.","Birincil merkezi devre dışı bırakan senaryoda ikincile geçiş ve 24 saat hedefini ölç; seçilen yedeği izole ortamda geri yükle ve hash karşılaştır.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-015","SPK-VII-128.10","Madde 28-29","Değişiklikler risk/test/onay/geri dönüş/kayıt ile yönetilir; BS iç denetimi en az yıllık, bağımsız ve yetkin kişilerce yapılır; bulgular aksiyon planıyla izlenir.","VII-128.10 madde 2 kapsamındaki kuruluş.","Kontrollü değişiklik ve bağımsız yıllık iç denetim.","Değişiklik kayıtları/test/onay/rollback; iç denetim planı-raporu, lisans kanıtı, yönetim kurulu sunumu ve aksiyon takibi.","Üretim değişikliği örneğinde ön test, bağımsız onay ve geri dönüşü; denetim bulgusunda hedef tarih ve takip kararını doğrula.","sources/SPK/VII-128.10_Bilgi_Sistemleri_Yonetimi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-016","SPK-III-62.2","Madde 29","Kesinleşen BS bağımsız denetim raporu ilk iş günü yönetim kurulu başkanlığına, dönem bitimini izleyen ay sonuna kadar yönetim kurulu kabul kararıyla Kurula gönderilir.","III-62.2 kapsamında denetime tabi kuruluş ve ilgili dönem.","Bağımsız denetim raporu teslim/bildirim takvimi.","İmzalı nihai rapor, teslim alındısı, yönetim kurulu kabul kararı, Kurul gönderim alındısı.","Rapor imza, dönem sonu ve gönderim tarihlerini hesaplayıp süreleri doğrula; resmî tatil uzatmasını takvimle test et.","sources/SPK/III-62.2_Bilgi_Sistemleri_Bagimsiz_Denetim.pdf","LEGAL_REVIEW_REQUIRED"
"WP-SPK-017","SPK-III-62.2","Madde 30","KVHS ve belirli piyasa altyapıları yıllık; belirli aracı kurum/PYŞ'ler iki veya üç yılda bir denetlenir; bazı kuruluşlar periyodik denetimden muaftır.","Kuruluş türü, yetki seviyesi ve özsermaye kategorisi bilinmelidir; eksikse UNKNOWN.","Kural tabanlı denetim periyodu ve muafiyet takvimi.","Lisans/kuruluş profili, özsermaye kategorisi, son denetim dönemi, Kurul özel kararı, denetim sözleşmesi.","Kuruluş profilinden periyodu türet; sınır tarihinden önce görev üretildiğini ve muaf kuruluşta yanlış görev oluşmadığını test et.","sources/SPK/III-62.2_Bilgi_Sistemleri_Bagimsiz_Denetim.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-001","BDDK-BANK-BS","Madde 4-5","Yönetim kurulu BS gözetimi, kaynak, strateji/komiteler ve kontrollü politika-prosedür dokümanlarını sağlar; dokümanlar en az yıllık gözden geçirilir.","5411 kapsamındaki banka.","BS yönetişim komiteleri ve sürümlü doküman kontrolü.","BS strateji planı, komite görev tanımı/tutanakları, yönetim kurulu raporu, politika onayı ve sürüm geçmişi.","Komitelerin yıllık toplantı/rapor asgarilerini ve politika revizyon kayıtlarını örnekle.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-002","BDDK-BANK-BS","Madde 6","Banka detaylı varlık/veri envanteri ve sınıflandırma kılavuzu tutar; kişisel veri niteliğini ve erişim kısıtlarını kaydeder; sınıfları en çok iki yılda gözden geçirir.","5411 kapsamındaki banka.","Varlık ve kişisel veri envanteri sınıflandırması.","Envanter zorunlu alanları, sınıflandırma kılavuzu, sahip/muhafız, son gözden geçirme tarihi.","Teknik keşif listesinden örnekleri envanterle eşleştir; iki yılı aşan sınıflandırmaları ve kişisel veri alanı eksiklerini bul.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-003","BDDK-BANK-BS","Madde 7","BS riskleri analiz, aksiyon, artık risk ve kabul onayıyla yönetilir; analiz en az yıllık ve önemli değişiklikten önce yenilenir; yönetim kuruluna yıllık raporlanır.","5411 kapsamındaki banka.","Entegre BS risk envanteri ve onaylı risk kabulü.","Risk analizi, aksiyon planı, artık risk, üst düzey yönetici/iş birimi onayı, yıllık yönetim raporu.","Yüksek risk örneğinde aksiyon ve artık risk onayını; önemli değişiklikte ön analiz zamanını doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-004","BDDK-BANK-BS","Madde 8","Yönetim kurulu sorumluluğunda BGYS kurulur; BS güvenlik fonksiyonu BS işletiminden bağımsızdır; komite yılda en az iki kez toplanır ve yılda en az bir rapor sunar.","5411 kapsamındaki banka.","Bağımsız bilgi güvenliği fonksiyonu ve BGYS gözetimi.","Organizasyon/raporlama hattı, komite tutanakları, politika, yıllık rapor, güvenlik test ve farkındalık programı.","Güvenlik sorumlusunun işletim yetkisi/çıkar çatışmasını tara; toplantı ve rapor periyotlarını doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-005","BDDK-BANK-BS","Madde 9-10","Veri gizliliği sınıfa uygun, güncel şifreleme ve güvenli anahtar yönetimiyle korunur; müşteri sırrı paylaşımı kanuni istisna veya kanıtlanabilir talep koşullarına tabidir.","5411 kapsamındaki banka; işlenen veri ve paylaşım olguları gerekir.","Şifreleme/anahtar yönetimi ve müşteri sırrı aktarım kapısı.","Veri sınıfı, şifreleme/KMS ayarı, anahtar yaşam döngüsü, müşteri talebi veya hukuki dayanak, aktarım logu.","Hassas veri örneğinde uçtan uca şifreleme ve anahtar süresini; dışa aktarımda talep/dayanak olmadan işlem engelini test et.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-006","BDDK-BANK-BS","Madde 11","Erişimler görev ayrılığı, sınıfa uygun kimlik doğrulama, en az yetki ve periyodik gözden geçirmeyle yönetilir; kimlik/yetki işlemleri izlenir.","5411 kapsamındaki banka.","IAM, SoD, JML ve ayrıcalıklı erişim yönetimi.","Rol/yetki matrisi, onaylar, erişim incelemesi, İK-IAM olayları, ayrıcalıklı oturum/iz kayıtları.","Çalışan yaşam döngüsü örneklerinde zamanında yetki değişimini; kritik rol çatışmalarını ve ayrıcalıklı hesap izlerini doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-007","BDDK-BANK-BS","Madde 12-13","İşlem/kayıt/veri bütünlüğü korunur; etkin iz kaydı mekanizması kurulur, kritik işlem ve erişimler yeterli içerikle izlenip korunur.","5411 kapsamındaki banka.","Bütünlüklü ve sorumluluk atayan denetim izi.","Log zorunlu alanları, merkezi kayıt, bütünlük/erişim kontrolü, saklama ve inceleme kayıtları.","Kritik işlem oluşturup kullanıcı-zaman-sonuç-kaynak alanlarının loglandığını; log değiştirme girişiminin engel/uyarı ürettiğini test et.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-008","BDDK-BANK-BS","Madde 14-16","Katmanlı ağ güvenliği, güvenli konfigürasyon ve hızlı/etkin güvenlik açığı-yama süreci kurulur.","5411 kapsamındaki banka.","Savunma derinliği, güvenli temel ayar ve risk bazlı yama yönetimi.","Ağ diyagramı/kural seti, güvenli baseline, zafiyet taraması, yama SLA/istisna ve doğrulama kayıtları.","Kritik zafiyet örneğinde tespit-SLA-yama-yeniden tarama zincirini; baseline sapmasını otomatik taramayla doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-009","BDDK-BANK-BS","Madde 18","Siber olay yönetimi ve müdahale ekibi kurulur; olaylar kayıt/analiz/iyileştirme ve ilgili bildirimlerle yönetilir; sızma testi ve istihbarat paylaşımı hükümleri uygulanır.","5411 kapsamındaki banka.","Siber olay müdahalesi, SOME koordinasyonu ve sızma testi.","Olay planı/kayıtları, müdahale-kök neden, BDDK/SOME bildirimleri, sızma testi kapsam/rapor/iyileştirme.","Fidye yazılımı senaryosunda tespit, izolasyon, eskalasyon, bildirim, geri dönüş ve ders çıkarma sürelerini ölç.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-010","BDDK-BANK-BS","Madde 19","Çalışan ve ilgili dış hizmet sağlayıcılara güncel farkındalık eğitimi verilir; sosyal mühendislik testleri yapılır, başarısızlara hedefli eğitim uygulanır.","5411 kapsamındaki banka ve sistem erişimi olan ilgili taraflar.","Rol bazlı farkındalık ve düzeltici oltalama eğitimi.","Onaylı program, katılım/başarı, içerik sürümü, phishing sonuçları ve hedefli eğitim kayıtları.","Örnek çalışanların rol bazlı eğitimi tamamladığını; phishing başarısızlığından sonra hedefli eğitim atandığını doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-011","BDDK-BANK-BS","Madde 22-24","Geliştirme/test/üretim ortamları ve görevler ayrılır; güvenli geliştirme, test ve onaylı/geri dönüşlü değişiklik yönetimi uygulanır.","5411 kapsamındaki banka; yazılım geliştirme/tedarik/değişiklik olgusu.","Güvenli SDLC ve üretim değişikliği kontrolü.","Repo/branch koruması, kod inceleme, test kanıtı, ortam erişimleri, değişiklik onayı ve rollback.","Geliştiricinin tek başına üretime çıkamadığını; örnek değişiklikte test/onay/rollback ve üretim sonrası incelemeyi doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-012","BDDK-BANK-BS","Madde 25","Birincil ve ikincil sistemler ile dış hizmet/bulut kapsamındaki sistem ve yedekler yurt içinde tutulur; yurt dışı bağlantı kesilse de yurt içi faaliyet sürdürülebilir olmalıdır.","5411 kapsamındaki banka; sistemin birincil/ikincil sayılması olgusuna göre.","Veri/sistem yerelleştirme ve egemen operasyon.","Veri merkezi/bulut konumu, veri akışları, mimari ve sözleşme, yurt dışı bağlantı kesinti testi.","DNS/ağ seviyesinde yurt dışı bağlantıyı kesen kontrollü senaryoda seçilen kritik bankacılık hizmetinin yurt içinde sürdüğünü doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-013","BDDK-BANK-BS","Madde 27","Kritik sistemlerde yedeklilik kurulur; sınıfa uygun yedekleme, düzenli geri yükleme testi, şifreli taşıma ve güncel yedek envanteri sağlanır.","5411 kapsamındaki banka.","Doğrulanmış, şifreli ve envanterli yedekleme.","Yedek politikası/envanteri, iş logları, şifreleme ayarı, restore test sonucu ve veri bütünlük hash'i.","Rastgele kritik yedekten izole geri yükleme yap; RPO, okunabilirlik, hash ve şifreleme şartlarını doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-014","BDDK-BANK-BS","Madde 28","Yönetim kurulu onaylı BS süreklilik planı, BIA/RTO/RPO ve coğrafi ayrık ikincil merkez kurulur; yılda en az bir gerçekçi DR ve iki iletişim zinciri testi yapılır; tam kesintide en geç 24 saatte faaliyet sürdürülür.","5411 kapsamındaki banka.","Felaket kurtarma ve ölçülen operasyonel dayanıklılık.","BIA, RTO/RPO, onaylı plan, yıllık ikincil merkez testi, iletişim testi, üst yönetim raporu, iyileştirme kayıtları.","Birincil tamamen kapalı senaryoda ikincilden hizmeti başlat; 24 saat, hedef RTO/RPO ve dış hizmet katılımını ölç.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-015","BDDK-BANK-BS","Madde 29","Dış hizmet riskleri, sözleşmeler, erişimler, denetim hakkı ve bankanın karar hâkimiyeti korunarak yönetilir.","Dış hizmet alan 5411 kapsamındaki banka.","Üçüncü taraf risk, sözleşme ve sürekli gözetim.","Durum tespiti, risk/onay, zorunlu sözleşme maddeleri, erişim gözden geçirme, hizmet ve güvenlik raporları, çıkış planı.","Kritik tedarikçide banka/Kurum denetim hakkı, veri konumu, alt yüklenici ve olay bildirimi maddelerini; erişimlerin güncelliğini test et.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-016","BDDK-BANK-BS","Madde 30-32","BS iç kontrol ve iç denetim fonksiyonları kurulur; çalışma kanıtları en az 3 yıl saklanır; denetim döngüsü en çok 2 yıldır; bulgular aksiyonla izlenir ve kritik konular denetim komitesince ele alınır.","5411 kapsamındaki banka.","Bağımsız güvence ve doğrulanmış bulgu kapanışı.","İç kontrol/denetim planları, çalışma kâğıtları, raporlar, bulgu/aksiyon, retest ve denetim komitesi kararları.","Kritik bulguyu başarılı retest ve yetkili onay olmadan kapatmayı engelle; 3 yıllık kanıt ve 2 yıllık kapsam döngüsünü doğrula.","sources/BDDK/Bankalar_BS_Elektronik_Bankacilik_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-017","BDDK-IS-DENETIM","Madde 42","BS bağımsız denetiminde dış hizmet, denetim kanıtı ve örnekleme için BDS 402, 500 ve 530 ilgili hükümleri kıyasen uygulanır.","BDDK BS bağımsız denetimine tabi kuruluş/denetçi.","İzlenebilir denetim kanıtı ve gerekçeli örnekleme.","Denetim evreni, örnekleme metodolojisi/seed'i, seçilen örnekler, çalışma kâğıtları ve kanıt bütünlüğü.","Aynı evren ve seed ile örnek seçimini yeniden üret; her sonuçtan kaynak kanıta çift yönlü iz sür.","sources/BDDK/BS_Is_Surecleri_Bagimsiz_Denetim_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-BDDK-018","BDDK-REMOTE-ID","Madde 4-12","Uzaktan kimlik tespiti risk bazlı, eğitimli temsilci, belge doğrulama, canlılık ve kesintisiz kayıtla yürütülür; yetersiz görüntü/şüphede süreç sonlandırılır.","Uzaktan müşteri edinimi kullanan banka.","Uzaktan kimlik tespiti güvenliği ve kanıt kaydı.","Risk değerlendirmesi, temsilci eğitimleri, cihaz/belge/canlılık sonuçları, görüşme kayıtları, başarısızlık/sonlandırma logları.","Sahte belge, replay/deepfake, düşük ışık ve kopan görüşme senaryolarında sistemin reddetmesini; tüm adımların sorumluluk atayan kaydını doğrula.","sources/BDDK/Uzaktan_Kimlik_Tespiti_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-001","KVKK-6698","Madde 4","Veri hukuka/dürüstlüğe uygun, doğru, belirli-meşru amaçlı, bağlantılı-sınırlı-ölçülü ve yalnız gerekli süre kadar işlenir.","6698 kapsamındaki kişisel veri işleme faaliyeti; madde 28 istisnaları kontrol edilir.","Amaç/hukuki sebep, minimizasyon, doğruluk ve saklama kontrolü.","İşleme envanteri, veri-akış haritası, amaç/hukuki sebep, alan gerekçesi, saklama süresi ve güncelleme kayıtları.","Seçilen süreçte her veri alanını amaç ve hukuki sebeple eşleştir; gereksiz alanı ve süresi geçmiş kaydı tespit et.","sources/KVKK/6698_KVKK_Konsolide.pdf","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-002","KVKK-6698","Madde 6/3-6/4 ve KVKK-2018/10","Özel nitelikli veri yalnız sayılan işleme şartıyla ve Kurulun belirlediği yeterli önlemler alınarak işlenir.","Özel nitelikli kişisel veri işleyen veri sorumlusu/veri işleyen.","Özel veri işleme kapısı, ayrık yetki, şifreleme ve izleme.","Veri kategorisi/hukuki şart, politika, eğitim/gizlilik, ayrık rol-yetki, kriptografi, aktarım ve erişim logları.","Özel veri deposuna yetkisiz rol erişimini reddet; yetkili erişimi logla; aktarımda şifreleme ve hukuki şartı doğrula.","sources/KVKK/6698_KVKK_Konsolide.pdf; sources/KVKK/2018-10_Ozel_Nitelikli_Veri_Tedbirleri.html","LEGAL_REVIEW_REQUIRED"
"WP-KVKK-003","KVKK-6698","Madde 7 ve KVKK-DESTROY madde 5-7","İşleme şartı kalmayınca veri resen/taleple silinir, yok edilir veya anonimleştirilir; VERBİS yükümlüsü politika hazırlar; tüm imha işlemleri kaydedilir ve kayıt en az 3 yıl saklanır.","6698 kapsamı; politika zorunluluğu için VERBİS kayıt yükümlülüğü olgusu gerekir.","Saklama-imha politikası ve kanıtlı imha yaşam döngüsü.","Politika/envanter, saklama tablosu, yöntem/prosedür, imha iş emri/logu, üçüncü taraf bildirimi, 3 yıllık kayıt.","Saklama süresi dolan örnek veriyi birincil, yedek ve dış hizmette izleyip imha/anonimleştirme kanıtını doğrula.","sources/KVKK/6698_KVKK_Konsolide.pdf; sources/KVKK/Silme_Yok_Etme_Anonimlestirme_Yonetmeligi.pdf","LEGAL_REVIEW_REQUIRED"
